學年度,學期,學校,,,系所名稱,學制,對方學校（機構）國別(地區),對方學校(機構)名稱,,本國學生出國進修、交流人數,,
,,設立別,類別,名稱,,,,中文名稱,英文名稱,小計,男,女
101,1,公立,一般大學,國立政治大學,新聞學系,學士班(日間),德意志聯邦共和國,卡爾國際大學,KARLSHOCHSCHULE INTERNATIONAL UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,新聞學系,學士班(日間),德意志聯邦共和國,歐洲應用科技大學,EUROPEAN UNIVERSITY OF APPLIED SCIENCES,1,1,0
101,1,公立,一般大學,國立政治大學,新聞學系,碩士班(日間),大陸地區,中國人民大學,Renmin University of China,1,0,1
101,1,公立,一般大學,國立政治大學,新聞學系,碩士班(日間),法國,巴黎政治大學,SCIENCES PO PARIS,1,0,1
101,1,公立,一般大學,國立政治大學,新聞學系,碩士班(日間),瑞典王國,林奈大學,LINNAEUS UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,新聞學系,博士班,德意志聯邦共和國,曼漢姆大學,UNIVERSITY OF MANNHEIM,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),大陸地區,上海交通大學,Shanghai Jiao Tong University,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),西班牙王國,那瓦納大學,Universidad de Navarra,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),法國,雷恩第二大學,UNIVERSITE RENNES 2 - HAUTE BRETAGNE,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),美國,史丹福大學,Stanford University,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),美國,普渡大學,Purdue University,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),泰王國(泰國),法政大學,Tanta University,1,1,0
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),泰王國(泰國),曼谷大學,BANGKOK UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),德意志聯邦共和國,新烏爾姆應用科技大學,NEU-ULM UNIVERSITY OF APPLIED SCIENCES,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),香港,香港中文大學,CHINESE UNIVERSITY OF HONG KONG,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,碩士班(日間),香港,香港中文大學,CHINESE UNIVERSITY OF HONG KONG,2,0,2
